deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
1,242,36,5570.035712,18328.445673506543
1,243,83,16884.170752,17327.396260612833
1,244,61,9462.349824,15600.71268094342
1,245,59,9059.69664,18305.999586983595
1,252,1,702.788608,55244.909022076936
1,294,1,702.788608,46603.1290649091
1,295,1,702.788608,7886.679373388903
1,296,4,2811.154432,7807.55617412126
1,297,3,2108.365824,7941.470922670643
1,298,4,2811.154432,7828.606008096111
1,299,3,2108.365824,7876.28711640085
1,300,4,2811.154432,7851.781134813838
1,301,3,2108.365824,7815.718733645373
1,302,4,2811.154432,7910.711851386127
1,303,3,2108.365824,7897.136824451326
1,304,4,2811.154432,7826.898786876625
1,305,3,2108.365824,7809.663134493115
1,306,2,1405.577216,7931.771897036571
1,307,4,2811.154432,7835.391034109641
1,308,4,2811.154432,7820.613004487798
1,309,3,2108.365824,7836.692419524123
1,310,4,2811.154432,7892.973280131677
1,311,3,2108.365824,7824.828073556335
1,312,4,2811.154432,8134.106758529804
1,313,3,2108.365824,7797.142612180949
1,314,4,2811.154432,7834.9542422664035
1,315,3,2108.365824,7834.485641607905
1,316,4,2811.154432,7813.744984048716
1,317,2,1405.577216,7796.006651568647
1,318,3,2108.365824,9695.659652852273
1,319,3,2108.365824,7853.584042804637
1,320,4,2811.154432,7864.58555374196
1,321,3,2108.365824,7811.647520463613
1,322,4,2811.154432,7854.889534373398
1,323,3,2108.365824,7884.615532816827
1,324,4,2811.154432,7834.542812676996
1,325,3,2108.365824,7834.189330833103
1,326,4,2811.154432,7832.3776573143205
1,327,3,2108.365824,7843.004714866435
1,328,4,2811.154432,7847.967387121197
1,329,2,1405.577216,7920.175517542948
1,330,4,2811.154432,7852.931336282875
1,331,4,2811.154432,7906.314859427414
1,332,3,2108.365824,7925.9847621156505
1,333,4,2811.154432,7799.945434469072
1,334,3,2108.365824,7889.990245425196
1,335,4,2811.154432,7894.367335019618
1,336,3,2108.365824,7900.621042302214
1,337,4,2811.154432,7833.889753660225
1,338,3,2108.365824,7874.1726565115505
1,339,4,2811.154432,7896.488939158447
1,340,2,1405.577216,7822.805102233873
1,341,4,2811.154432,7876.3312313068855
1,342,3,2108.365824,7836.673877067419
1,343,4,2811.154432,7796.508689750544
1,344,3,2108.365824,7862.041235081059
1,345,4,2811.154432,7949.662218258285
1,346,3,2108.365824,7795.970077190184
1,347,4,2811.154432,7814.835437895814
1,348,3,2108.365824,8018.514544905175
1,349,4,2811.154432,7896.361859810104
1,350,3,2108.365824,7837.977779189193
1,351,4,2811.154432,7946.196790828731
1,352,2,1405.577216,7787.4581684102
1,353,4,2811.154432,7803.003081121809
1,354,3,2108.365824,7848.784122223876
1,355,4,2811.154432,7855.180643695224
1,356,3,2108.365824,7818.767708674903
1,357,4,2811.154432,7812.057973852923
1,358,3,2108.365824,7813.601336638657
1,359,4,2811.154432,7809.0603968557425
1,360,3,2108.365824,7929.02459722209
1,361,4,2811.154432,7893.126956807584
1,362,3,2108.365824,7953.220587783545
1,363,3,2108.365824,7855.883799336425
1,364,3,2108.365824,7929.688392680597
1,365,4,2811.154432,7995.260167824827
1,366,3,2108.365824,7879.711790477574
1,367,4,2811.154432,7939.552820773786
1,368,3,2108.365824,7873.415485227928
1,369,4,2811.154432,8014.952917027591
1,370,3,2108.365824,7810.12656526489
1,371,4,2811.154432,7820.730939332882
1,372,3,2108.365824,7832.578795149459
1,373,4,2811.154432,7965.878735949385
1,374,3,2108.365824,7876.415710526617
1,375,3,2108.365824,7859.18007621324
1,376,4,2811.154432,7821.265790213026
1,377,3,2108.365824,7815.354417346815
1,378,4,2811.154432,7810.953558139248
1,379,3,2108.365824,7811.802391558285
1,380,4,2811.154432,7879.333340779848
1,381,3,2108.365824,7836.045614179916
1,382,3,2108.365824,7911.580680403942
1,383,4,2811.154432,8005.544601284899
1,384,3,2108.365824,7976.169770551853
1,385,4,2811.154432,7881.695710894601
1,386,3,2108.365824,7904.029769899822
1,387,3,2108.365824,7799.65953034022
1,388,4,2811.154432,7827.395214006751
1,389,3,2108.365824,7820.055706082504
1,390,4,2811.154432,7935.528053333595
1,391,3,2108.365824,7842.368356166332
1,392,4,2811.154432,7862.503544082696
1,393,3,2108.365824,7901.075325188882
1,394,4,2811.154432,7854.771047500737
1,395,3,2108.365824,7858.022099065579
1,396,4,2811.154432,7883.772207128596
1,397,2,1405.577216,7845.973431818424
1,398,4,2811.154432,7882.719587433923
1,399,3,2108.365824,7833.482700825975
1,400,4,2811.154432,7811.629227561635
1,401,3,2108.365824,7917.365725129804
1,402,4,2811.154432,7909.249891833755
1,403,3,2108.365824,7853.555621610024
1,404,4,2811.154432,8006.170751020081
1,405,3,2108.365824,7942.0245708291195
1,406,4,2811.154432,7855.338465216495
1,407,3,2108.365824,7952.680530405773
1,408,4,2811.154432,7859.6449913514625
1,409,2,1405.577216,7944.419395285871
1,410,4,2811.154432,7921.851818885417
1,411,3,2108.365824,7809.587511596033
1,412,4,2811.154432,7901.313207737967
1,413,3,2108.365824,8000.77513231208
1,414,4,2811.154432,7848.896814491009
1,415,3,2108.365824,7813.34087996592
1,416,4,2811.154432,7948.753504898584
1,417,3,2108.365824,7915.236139155317
1,418,4,2811.154432,7915.459348150323
1,419,3,2108.365824,7829.422114269849
1,420,3,2108.365824,7882.319455353097
1,421,3,2108.365824,7890.2036464644225
1,422,4,2811.154432,7815.49757691169
1,423,3,2108.365824,7871.224091066612
1,424,4,2811.154432,8000.309792514888
1,425,3,2108.365824,7943.785311636596
1,426,4,2811.154432,7807.180337461494
1,427,3,2108.365824,7833.962183679792
1,428,4,2811.154432,7950.151724226063
1,429,3,2108.365824,8083.765170673495
1,430,4,2811.154432,7936.4496588310385
1,431,3,2108.365824,7960.624338464454
1,432,3,2108.365824,7851.827538319519
1,433,3,2108.365824,8009.343957005704
1,434,4,2811.154432,7857.243940928367
1,435,3,2108.365824,7804.909306811062
1,436,4,2811.154432,7874.4398300012035
1,437,3,2108.365824,7887.814053797232
1,438,4,2811.154432,7944.543685471815
1,439,3,2108.365824,7918.095446183827
1,440,4,2811.154432,7915.870825042439
1,441,3,2108.365824,8004.140488370697
1,442,4,2811.154432,7939.752543816832
1,443,2,1405.577216,7820.771733753103
1,444,4,2811.154432,7816.9655416441865
1,445,3,2108.365824,7910.251680281021
1,446,4,2811.154432,7825.417002122736
1,447,3,2108.365824,7833.885301602056
1,448,4,2811.154432,7940.217839353329
1,449,3,2108.365824,7839.989504812121
1,450,4,2811.154432,7869.278313675268
1,451,3,2108.365824,7878.042792143904
1,452,4,2811.154432,7893.17870994314
1,453,3,2108.365824,7924.114334158051
1,454,3,2108.365824,7897.569765170662
1,455,3,2108.365824,7889.983595456552
1,456,4,2811.154432,7857.262665841081
1,457,3,2108.365824,7888.161404300539
1,458,3,2108.365824,7850.46095935086
1,459,4,2811.154432,7843.825422456378
1,460,3,2108.365824,7830.9129845798625
1,461,4,2811.154432,7882.799666279323
1,462,3,2108.365824,7949.0729754665745
1,463,4,2811.154432,7865.6245474797
1,464,3,2108.365824,7892.4415556191025
1,465,4,2811.154432,7873.851454501315
1,466,2,1405.577216,7893.750016815371
1,467,4,2811.154432,7912.273607331131
1,468,3,2108.365824,7902.432150253819
1,469,4,2811.154432,7866.076929247967
1,470,3,2108.365824,8063.660381498041
1,471,4,2811.154432,7957.648683880623
1,472,3,2108.365824,7845.75896444575
1,473,4,2811.154432,7870.469648666617
1,474,3,2108.365824,7882.337923198477
1,475,3,2108.365824,7937.5947748678345
1,476,4,2811.154432,7847.524310394781
1,477,3,2108.365824,7795.343651208675
1,478,3,2108.365824,7852.586342659063
1,479,3,2108.365824,8093.603405775245
1,480,4,2811.154432,7882.589962414403
1,481,3,2108.365824,7920.58122175237
1,482,4,2811.154432,7965.380211488227
1,483,3,2108.365824,7926.762981696723
1,484,4,2811.154432,7951.274309472493
1,485,3,2108.365824,7891.672295041841
1,486,4,2811.154432,7817.642967054488
1,487,3,2108.365824,7931.832946508377
1,488,3,2108.365824,7838.951389357532
1,489,3,2108.365824,7929.291433799838
1,490,3,2108.365824,7892.345504702556
1,491,4,2811.154432,7879.5289539487985
1,492,3,2108.365824,7806.091978366959
1,493,4,2811.154432,7829.80944420157
1,494,3,2108.365824,7870.174984519582
1,495,4,2811.154432,7922.998698183848
1,496,3,2108.365824,7826.869512408167
1,497,4,2811.154432,7845.445548807184
1,498,3,2108.365824,8012.165425744526
1,499,3,2108.365824,8085.130118495023
1,500,4,2811.154432,7930.185107897452
1,501,3,2108.365824,7808.307471893721
1,502,3,2108.365824,7855.010927464577
1,503,3,2108.365824,8040.054439993571
1,504,4,2811.154432,7814.767931178028
1,505,3,2108.365824,7866.75189380853
1,506,4,2811.154432,7976.329699201204
