deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
1,122,23,1562.37824,11150.501329762272
1,123,22,1509.94944,11399.341787782538
1,124,21,1814.03648,11336.801146389824
1,179,24,1436.54912,10932.091895076817
1,180,35,2191.52384,11161.013939781755
1,181,31,2160.06656,11090.927536201918
1,182,22,1509.94944,11291.648958641184
1,183,7,456.13056,10916.571077831331
1,184,11,1022.3616,11039.284531396783
1,185,28,2170.55232,11031.680549064948
1,186,35,2141.71648,11311.499281699316
1,187,33,2086.66624,11046.256761395405
1,188,26,2249.19552,11011.266360164835
1,189,28,2129.26464,12107.553777205128
1,190,35,2369.78176,11049.859480530096
1,191,32,2212.49536,10911.584737958208
1,192,32,2390.75328,10955.484604028838
1,193,28,2040.13568,12366.509288964504
1,196,3,4469.030912,14605.37298184808
1,199,39,6106.906624,14995.519718924394
1,200,80,16347.29984,17980.477602094517
1,201,70,10804.527104,17276.969022092617
1,202,50,7717.51936,15335.649451366013
1,623,27,1922.17088,10553.77045599762
1,624,125,8692.69504,9415.363522864707
1,625,124,8818.52416,9351.879970028025
1,626,54,3722.4448,5393.089261747942
1,627,43,2967.47008,3294.2862896478578
1,628,34,2443.83744,4482.714418481397
2,35,5,771.751936,9824.907956310406
2,36,8,1275.068416,10097.49065484064
2,37,5,771.751936,10069.649649228533
2,38,5,771.751936,10023.021907483559
2,39,7,1040.187392,10083.047519917856
2,40,8,1275.068416,10054.996997941493
2,41,5,771.751936,10064.998433813584
2,42,7,1040.187392,10060.455941493026
2,43,8,1275.068416,10021.998997233974
2,44,5,771.751936,10014.582344046476
2,45,5,771.751936,10078.949022358802
2,46,7,1040.187392,10000.440796065186
2,47,8,1275.068416,10051.088938261082
2,48,5,771.751936,10132.263269058234
2,49,7,1040.187392,10038.460707897542
2,50,8,1275.068416,9922.583433161139
2,51,5,771.751936,10114.010480155524
2,52,5,771.751936,9950.641779583348
2,53,7,1040.187392,9948.7746641863
2,54,1,4200.595456,10142.063738895375
2,107,18,1032.84736,11731.25955255487
2,108,27,1682.96448,11158.138995537523
2,109,26,1808.7936,11067.222492907737
2,110,25,1756.3648,11168.31513700039
2,111,25,1667.23584,11462.086144308441
