Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",7,444887.265,814,546.5445515970516,16.992,1647.065,0.07654626341057984,0.06957978232231717
elementwise,aten::mul,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",7,437915.732,878,498.7650706150342,5.953,1840.06,0.07534675773043063,0.06848944374273826
triton,triton_red_fused__to_copy_add_mul_native_layer_norm_0,triton_red_fused__to_copy_add_mul_native_layer_norm_0,7,436560.616,723,603.8182793914245,453.35,2077.397,0.07511359963747444,0.0682775053850478
GEMM,aten::mm,nvjet_tst_192x128_64x5_1x4_h_bz_coopB_TNT,7,427079.213,2214,192.89937353206864,37.344,348.037,0.07348225158902028,0.06679462644300804
elementwise,aten::add,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",7,388722.498,770,504.834412987013,3.808,1540.951,0.06688268482022429,0.06079568673341857
elementwise,aten::mul,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",7,388684.286,1044,372.3029559386973,1.471,1537.879,0.06687611015278029,0.06078971042694439
elementwise,aten::silu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",7,387100.313,696,556.1786106321839,14.561,1541.943,0.06660357545909053,0.0605419791358623
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_2,triton_red_fused__unsafe_view_clone_mean_permute_view_2,7,313233.029,2160,145.0152912037037,117.218,297.604,0.05389414315271037,0.04898923320266329
elementwise,aten::fill_,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",7,278429.093,858,324.5094324009324,1.248,1070.641,0.047905859238175384,0.04354594344960673
GEMM,aten::addmm,nvjet_tst_192x128_64x5_1x4_h_bz_coopB_bias_TNT,7,277192.53,2214,125.1998780487805,47.457,349.253,0.04769309909741978,0.04335254662498009
other,aten::_efficient_attention_forward,"fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 32, 128, 65536, true, true>::Params)",7,269071.842,24,11211.32675,10669.155,11903.126,0.046295872492780665,0.04208248171685678
GEMM,aten::mm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,260271.976,240,1084.4665666666667,466.724,1437.965,0.04478178810824831,0.040706194264021826
