Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
triton,triton_poi_fused__unsafe_view_clone_permute_view_10,triton_poi_fused__unsafe_view_clone_permute_view_10,7,515642.159,2160,238.72322175925925,237.38,241.123,0.07961016648685566,0.07307796258485996
triton,triton_poi_fused__unsafe_view_clone_permute_view_8,triton_poi_fused__unsafe_view_clone_permute_view_8,7,514683.417,2160,238.27935972222224,235.458,241.347,0.07946214598677483,0.07294208751960074
triton,triton_poi_fused_all_to_all_single_clone_permute_view_6,triton_poi_fused_all_to_all_single_clone_permute_view_6,7,490747.247,2160,227.197799537037,225.347,232.003,0.07576663264385268,0.06954979985429978
elementwise,aten::add_,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",7,475852.254,912,521.7678223684211,11.104,1812.89,0.07346698966111018,0.067438848059228
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",7,444803.014,814,546.4410491400491,17.12,1644.088,0.06867328704671564,0.06303848016958781
elementwise,aten::mul,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",7,437805.402,878,498.63941002277903,5.952,1807.769,0.06759292337472501,0.06204676291180755
triton,triton_red_fused__to_copy_add_mul_native_layer_norm_0,triton_red_fused__to_copy_add_mul_native_layer_norm_0,7,435812.808,725,601.1211144827587,452.007,2062.834,0.06728528611638224,0.061764368023730115
GEMM,aten::mm,nvjet_tst_192x128_64x5_1x4_h_bz_coopB_TNT,7,392842.817,2214,177.43578003613368,37.217,410.02,0.06065113474271869,0.055674564582018575
elementwise,aten::add,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",7,388772.639,770,504.8995311688312,3.68,1541.174,0.060022738591326535,0.055097729832558694
elementwise,aten::mul,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",7,388739.908,1044,372.3562337164751,1.44,1537.59,0.060017685241219684,0.05509309112187218
elementwise,aten::silu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",7,387434.956,696,556.6594195402299,14.464,1542.582,0.0598162132627088,0.05490815039938359
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_2,triton_red_fused__unsafe_view_clone_mean_permute_view_2,7,296964.373,2160,137.48350601851854,116.066,501.86,0.045848429502046796,0.04208645658690293
elementwise,aten::fill_,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",7,278229.935,858,324.2773135198135,1.248,1055.375,0.04295601331344404,0.039431370040319026
other,aten::_efficient_attention_forward,"fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 32, 128, 65536, true, true>::Params)",7,273375.638,24,11390.651583333332,10583.098,12386.066,0.042206556765717024,0.03874340818857718
GEMM,aten::addmm,nvjet_tst_192x128_64x5_1x4_h_bz_coopB_bias_TNT,7,272893.447,2214,123.25810614272808,47.488,346.884,0.04213211113492743,0.03867507099922654
GEMM,aten::mm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,7,260414.946,240,1085.062275,466.596,1436.781,0.04020555116542658,0.036906589866959126
triton,triton_red_fused__unsafe_view_clone_mean_permute_view_3,triton_red_fused__unsafe_view_clone_mean_permute_view_3,7,255280.661,2160,118.1854912037037,2.4,356.229,0.039412867176139024,0.036178947488264473
CONV_fwd,aten::cudnn_convolution,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x192x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn,7,208733.491,24,8697.228791666666,1994.877,9507.624,0.03222643393263077,0.029582178220429807
reduce,aten::linalg_vector_norm,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)",7,198876.492,720,276.21735,12.289,777.067,0.030704608539275428,0.028185222227696476
elementwise,aten::add,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",7,184927.056,458,403.77086462882096,8.032,2257.857,0.02855095042002584,0.026208276890129736
CONV_fwd,aten::cudnn_convolution,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,7,142123.414,24,5921.808916666666,1536.695,6488.285,0.021942481724463326,0.02014204880156931
triton,triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,7,123268.651,2160,57.06881990740741,3.776,176.13,0.019031488518610647,0.01746990952627704
other,aten::_upsample_nearest_exact2d,"void at::native::(anonymous namespace)::upsample_nearest2d_out_frame<float, &at::native::nearest_neighbor_exact_compute_source_index>(float const*, float*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",7,112367.79000000001,72,1560.6637500000002,97.281,3078.86,0.01734850091972413,0.01592501507108809
